sample_id,scenario,input,coverage_note,run_mode,expected_primary_source,actual_tools,route_score,quality_score,evidence_score,satisfaction_score,total_score,critic_status,predicted_user_followup,latency_ms,token_total,tool_calls,trace_path,score_reason
R01,generic_risk,判断近期是否有值得记录的风险信号,明确风险目标,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,94.52,0,6,traces/run_20260826_113006_4f36e639.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
R02,generic_risk,我需要一份适合投资日志的近期风险摘要,投资日志产物,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,6.38,0,6,traces/run_20260826_113006_a2e9fc26.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
R03,generic_risk,最近新闻里有没有影响长期逻辑的负面信号？,长线风险问题,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,82,60,100,92.8,pass,accept,6.71,0,6,traces/run_20260826_113006_72bc2d8e.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
R04,generic_risk,帮我做一次综合持仓观察,宽泛但有目标,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,6.99,0,6,traces/run_20260826_113006_dd7e7057.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
R05,generic_risk,风险和市场情绪是否一致？,双信号问题,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,6.52,0,6,traces/run_20260826_113006_c18bdc50.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
R06,generic_risk,,空目标，应走默认观察,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,5.76,0,6,traces/run_20260826_113006_512b68be.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
E01,earnings_guidance,复盘最近财报指引是否改变长期持仓逻辑,财报 + 指引 + 长线,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,8.81,0,9,traces/run_20260826_113006_cd2e841a.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
E02,earnings_guidance,营收和利润趋势是否支持原来的增长假设？,营收、利润,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,9.18,0,9,traces/run_20260826_113006_9125b838.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
E03,earnings_guidance,下一次 earnings 前，我应该重点核对哪些业绩信号？,英文 earnings,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,8.78,0,9,traces/run_20260826_113006_63764e61.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
E04,earnings_guidance,管理层指引和近期报道有冲突吗？,管理层披露核验,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,93,85,100,97.2,pass,accept,9.32,0,9,traces/run_20260826_113006_35b022ce.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
