sample_id,scenario,turn_type,input,coverage_note,run_mode,llm_model,expects_primary_source,expected_sec_fetch,sec_mode,expected_first_action,actual_first_action,first_action_correct,actual_sec_fetch,has_successful_primary_source,reused_evidence_without_reanalysis,route_evidence_outcome,route_correct,evidence_sufficient,route_score,quality_score,evidence_score,followup_alignment_score,total_score,critic_status,expected_user_followup,predicted_user_followup,followup_prediction_correct,latency_ms,token_total,tool_calls,trace_path,score_reason
R01,generic_risk,fresh,判断近期是否有值得记录的风险信号,明确风险目标,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,68,30,100,59,pass,accept,accept,True,35024.53,10416,7,traces/run_20260826_161102_902bbd0d.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：新闻来自离线 fixture，不能作为实时研究结论
R02,generic_risk,fresh,我需要一份适合投资日志的近期风险摘要,投资日志产物,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,68,30,100,59,pass,accept,accept,True,21224.14,10857,7,traces/run_20260826_161137_233374d6.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：新闻来自离线 fixture，不能作为实时研究结论
R03,generic_risk,fresh,最近新闻里有没有影响长期逻辑的负面信号？,长线风险问题,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,100,59,pass,accept,accept,True,22380.28,10204,7,traces/run_20260826_161158_ea5beafb.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论
R04,generic_risk,fresh,帮我做一次综合持仓观察,宽泛但有目标,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,68,30,100,59,pass,accept,accept,True,21742.16,10335,7,traces/run_20260826_161221_3f49a0ac.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：新闻来自离线 fixture，不能作为实时研究结论
R05,generic_risk,fresh,风险和市场情绪是否一致？,双信号问题,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,100,59,pass,accept,accept,True,21275.04,10495,7,traces/run_20260826_161242_8b07f897.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论
R06,generic_risk,fresh,,空目标，应走默认观察,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,0,53.0,pass,retry,accept,False,19659.42,10311,7,traces/run_20260826_161304_4eb381d0.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 accept，人工标注为 retry
E01,earnings_guidance,fresh,复盘最近财报指引是否改变长期持仓逻辑,财报 + 指引 + 长线,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,fetch_sec_filings,True,True,True,False,route_correct_evidence_sufficient,True,True,100,69,55,0,62.6,needs_more_evidence,accept,ask_for_evidence,False,19830.4,10708,7,traces/run_20260826_161323_cabde6ea.jsonl,路径：工具路径符合该场景的最小证据需求。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 ask_for_evidence，人工标注为 accept
E02,earnings_guidance,fresh,营收和利润趋势是否支持原来的增长假设？,营收、利润,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,fetch_sec_filings,True,True,True,False,route_correct_evidence_sufficient,True,True,100,69,55,0,62.6,needs_more_evidence,accept,ask_for_evidence,False,24489.84,11076,7,traces/run_20260826_161343_5e97b213.jsonl,路径：工具路径符合该场景的最小证据需求。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 ask_for_evidence，人工标注为 accept
E03,earnings_guidance,fresh,下一次 earnings 前，我应该重点核对哪些业绩信号？,英文 earnings,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,collect_news,False,True,True,False,route_incorrect_evidence_sufficient,False,True,75,80,55,0,58.2,needs_more_evidence,accept,ask_for_evidence,False,21337.38,10829,7,traces/run_20260826_161408_28353f62.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 ask_for_evidence，人工标注为 accept
E04,earnings_guidance,fresh,管理层指引和近期报道有冲突吗？,管理层披露核验,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,collect_news,False,True,True,False,route_incorrect_evidence_sufficient,False,True,75,69,55,0,53.9,needs_more_evidence,accept,ask_for_evidence,False,21052.85,10327,7,traces/run_20260826_161429_66cac66e.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 ask_for_evidence，人工标注为 accept
